A̱o,Tipo de animal,REGION,Latitud,Longitud,TIPO DE INTERVENCION
2025,EQUINO,CONFLUENCIA,-38.9554691,-68.2228188,DISPERSION DE ANIMALES
2025,EQUINO,CONFLUENCIA,-38.847083,-68.343556,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.259056,-68.851917,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.259056,-68.851917,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.230806,-68.781861,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.219417,-68.771639,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-39.296500,-68.902722,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-39.248111,-68.801556,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-38.9444218,-68.1993359,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-38.76179,-68.1561249,SINIESTRO VIAL
2024,EQUINO,CONFLUENCIA,-38.762635,-68.1950043,SINIESTRO VIAL
2024,CAN,CONFLUENCIA,-38.77747,-68.1399435,SINIESTRO VIAL
2025,CAN,CONFLUENCIA,-38.751238,-68.187068,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.757444,-68.1619399,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.756013,-68.162648,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.61953,-68.398459,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.61366,-68.4202937,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.700308,-68.2617229,SINIESTRO VIAL
2025,CAN,CONFLUENCIA,-38.781413,-68.1463949,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.988935,-68.911949,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.989769,-68.918129,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.787139,-69.129131,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.753378,-69.117887,SINIESTRO VIAL
2025,EQUINO,COMARCA,-38.989769,-68.918129,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.950399,-69.389267,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.983528,-68.985323,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2024,VACUNO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2024,EQUINO,COMARCA,-38.869644,-69.165185,SINIESTRO VIAL
2025,EQUINO,COMARCA,-38.991179,-68.928777,SINIESTRO VIAL
2025,VACUNO,COMARCA,-38.967483,-69.032070,SINIESTRO VIAL
2025,EQUINO,COMARCA,-39.093415,-69.239441,SINIESTRO VIAL
2025,OVINO,COMARCA,-38.985626,-68.979746,SINIESTRO VIAL
2025,EQUINO,COMARCA,-38.695492,-69.082896,SINIESTRO VIAL
2025,CAPRINO,COMARCA,-38.991114,-68.927200,SINIESTRO VIAL
2025,VACUNO,COMARCA,-38.983528,-68.985323,SINIESTRO VIAL
2025,VACUNO,VACA MUERTA,-38.939149,-69.301521,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.695492,-69.082896,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.4420033,-68.965137,SINIESTRO VIAL
2025,VACUNO,VACA MUERTA,-38.3629277,-68.7478073,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.3906596,-68.6977625,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.3906596,-68.6977625,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.3562157,-68.83906,SINIESTRO VIAL
2025,VACUNO,VACA MUERTA,-38.3562157,-68.83906,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.385254,-68.9139882,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.241476,-68.9439795,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.3565177,-68.7684344,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.3620724,-68.7512101,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-38.39109625291289,-68.69240388943055,DISPERSION DE ANIMALES
2025,EQUINO,VACA MUERTA,-38.490472,-68.364056,DISPERSION DE ANIMALES
2025,EQUINO,VACA MUERTA,-38.5393083,-68.4441374,SINIESTRO VIAL
2025,VACUNO,ALTO NEUQUEN,-38.528528,-68.464750,SINIESTRO VIAL
2025,EQUINO,ALTO NEUQUEN,-38.500295,-68.361066,DISPERSION DE ANIMALES
2025,EQUINO,ALTO NEUQUEN,-37.209577,-70.625721,SINIESTRO VIAL
2025,EQUINO,ALTO NEUQUEN,-37.2528337,-70.4804214,SINIESTRO VIAL
2025,VACUNO,LIMAY,-37.419056,-70.227250,SINIESTRO VIAL
2024,VACUNO,LIMAY,-38.164056,-70.104528,SINIESTRO VIAL
2025,CAN,LIMAY,-40.049384,-70.064450,SINIESTRO VIAL
2025,EQUINO,LIMAY,-40.190558,-70.280745,SINIESTRO VIAL
2024,VACUNO,LAGOS,-39.910372,-69.921365,SINIESTRO VIAL
2024,CIERVO,LAGOS,-40.4032736,-70.5303619,SINIESTRO VIAL
2024,CIERVO,LAGOS,-41.038565,-71.203095,SINIESTRO VIAL
2025,CIERVO,LAGOS,-41.039100,-71.199670,SINIESTRO VIAL
2025,JABALI,LAGOS,-39.99767730976625,-70.83610318904736,SINIESTRO VIAL
2025,CIERVO,LAGOS,-40.052045337069075,-70.81400426209265,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.99146429704464,-70.86079772331719,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.99146429704464,-70.86079772331719,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.96186311417314,-70.90395370685818,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.99767730976625,-70.83610318904736,SINIESTRO VIAL
2025,CIERVO,LAGOS,-40.02217085579692,-71.0903763912063,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.992509783220115,-70.86103353607388,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.96186311417314,-70.90395370685818,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.683836256897465,-70.9802855317712,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.74081528213474,-71.14117872317647,SINIESTRO VIAL
2025,JABALI,LAGOS,-40.24694724213463,-70.63499128852294,SINIESTRO VIAL
2025,EQUINO,LAGOS,-39.91625413268198,-71.08758682599878,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.99217933044784,-70.85897266356555,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.92774315706791,-70.99592259956225,SINIESTRO VIAL
2024,CIERVO,LAGOS,-39.96209374771683,-71.08009532752652,SINIESTRO VIAL
2024,CIERVO,LAGOS,-40.02294107702173,-70.82435072880085,SINIESTRO VIAL
2024,LIEBRE,LAGOS,-39.77262151458592,-71.0615582082931,SINIESTRO VIAL
2024,JABALI,LAGOS,-39.91610793652842,-71.06451611154698,SINIESTRO VIAL
2024,VACUNO,LAGOS,-40.4459091,-71.5422519,SINIESTRO VIAL
2024,JABALI,LAGOS,-40.070574,-71.101084,SINIESTRO VIAL
2024,VACUNO,LAGOS,-40.073968,-71.107706,SINIESTRO VIAL
2024,JABALI,LAGOS,-40.074891,-71.109241,SINIESTRO VIAL
2024,JABALI,LAGOS,-40.118972,-71.180318,SINIESTRO VIAL
2024,EQUINO,LAGOS,-40.176608,-71.378164,SINIESTRO VIAL
2024,VACUNO,LAGOS,-40.2584577,-71.3842041,SINIESTRO VIAL
2025,JABALI,LAGOS,-40.070574,-71.101084,SINIESTRO VIAL
2025,EQUINO,LAGOS,-40.106212,-71.158939,SINIESTRO VIAL
2025,EQUINO,LAGOS,-40.298438,-71.386038,SINIESTRO VIAL
2025,CIERVO,LIMAY,-40.176608,-71.378164,SINIESTRO VIAL
2025,CIERVO,LAGOS,-40.064221,-71.083616,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.9103617,-69.9213696,SINIESTRO VIAL
2025,JABALI,LAGOS,-39.99767730976625,-70.83610318904736,SINIESTRO VIAL
2025,EQUINO,LAGOS,-39.91333795762213,-71.07151810141646,SINIESTRO VIAL
2025,EQUINO,LAGOS,-39.776153271148495,-71.02348415731313,SINIESTRO VIAL
2025,CIERVO,LAGOS,-40.23005964221572,-70.63744473820483,SINIESTRO VIAL
2025,CIERVO,LAGOS,-39.7743470388258,-71.0239206139673,SINIESTRO VIAL
2024,JABALI,LAGOS,-40.23600206028133,-70.63326539038067,SINIESTRO VIAL
2024,EQUINO,LAGOS,-39.73254290744511,-71.14858442777346,SINIESTRO VIAL
2024,EQUINO,LAGOS,-39.86471059211076,-71.18115689962659,SINIESTRO VIAL
2024,EQUINO,LAGOS,-40.197871,-71.364125,SINIESTRO VIAL
2024,CIERVO,LAGOS,-40.0999335,-71.1562995,SINIESTRO VIAL
2024,CIERVO,LAGOS,-40.0630918,-71.0800252,SINIESTRO VIAL
2024,JABALI,LAGOS,-40.0630795,-71.0799856,SINIESTRO VIAL
2024,JABALI,LAGOS,-40.364333,-71.451606,SINIESTRO VIAL
2024,EQUINO,LAGOS,-40.1537855,-71.3326239,SINIESTRO VIAL
2024,CIERVO,LAGOS,-40.0803544,-71.1235467,SINIESTRO VIAL
2024,VACUNO,LAGOS,-40.262786,-71.385519,SINIESTRO VIAL
2024,CIERVO,CONFLUENCIA,-40.115021,-71.175141,SINIESTRO VIAL
2024,CAN,CONFLUENCIA,-40.1534772,-71.3334188,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.461693,-68.916463,DISPERSION DE ANIMALES
2025,EQUINO,CONFLUENCIA,-38.461693,-68.916463,DISPERSION DE ANIMALES
2025,EQUINO,CONFLUENCIA,-38.784544,-68.148489,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.805201,-68.140153,DISPERSION DE ANIMALES
2025,EQUINO,CONFLUENCIA,-38.931847,-68.135004,SINIESTRO VIAL
2025,EQUINO,CONFLUENCIA,-38.950,-70.200,SINIESTRO VIAL
2025,VACUNO,CONFLUENCIA,-38.946667,-68.343278,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.944444,-68.197222,SINIESTRO VIAL
2025,CAN,PEHUEN,-38.957064,-68.228175,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.9557852,-69.6007869,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.791949,-70.5424352,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.9557852,-69.6007869,SINIESTRO VIAL
2025,CAPRINO,PEHUEN,-38.8855714,-69.905506,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.9557852,-69.6007869,SINIESTRO VIAL
2025,CAPRINO,PEHUEN,-38.9557852,-69.6007869,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.9557852,-69.6007869,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.8855711,-69.9055078,SINIESTRO VIAL
2025,CHOIQUE,PEHUEN,-38.9557852,-69.6007869,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.4878835,-70.4953064,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.3622447,-70.5449775,SINIESTRO VIAL
2024,VACUNO,VACA MUERTA,-37.56344453954381,-69.06746520031805,SINIESTRO VIAL
2024,VACUNO,VACA MUERTA,-37.56344453954381,-69.06746520031805,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-37.566395682276244,-69.0706630430407,SINIESTRO VIAL
2025,EQUINO,VACA MUERTA,-37.556366090410165,-69.05838946280836,SINIESTRO VIAL
2025,VACUNO,VACA MUERTA,-37.553279562106695,-69.05314483006816,SINIESTRO VIAL
2024,EQUINO,PEHUEN,-38.50827273345787916,-70.30534913760696725,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.30889563364370076,-70.07038269493651228,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-39.32502975504881704,-70.12812850525504871,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-39.19474704033469692,-70.06432011300816498,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-39.83295672555006206 ,-70.63313964201054773,SINIESTRO VIAL
2024,VACUNO,PEHUEN,-38.94352209224540218,-69.65297803492062201,SINIESTRO VIAL
2025,CHOIQUE,PEHUEN,-38.93318131484389255,-69.67849451544446993,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.92720263016875037,-69.69116031427721225,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.91019674504197212,-69.77097310813319098,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.90527773653651167,-69.7885089768105189,SINIESTRO VIAL
2024,CAPRINO,PEHUEN,-38.95194693776628725,-69.63059321826497694,SINIESTRO VIAL
2024,EQUINO,PEHUEN,-39.03396676233604268,-70.17608274482444131,SINIESTRO VIAL
2024,CAPRINO,PEHUEN, -39.70514233728334119,-70.40959602734814382,SINIESTRO VIAL
2024,EQUINO,PEHUEN,-38.85396512927003698,-70.04751845721355608,SINIESTRO VIAL
2024,CAPRINO,PEHUEN, -38.82187246514673973,-69.72060430831363931,SINIESTRO VIAL
2024,EQUINO,PEHUEN, -38.82365348760951207,-70.15601768448743769,SINIESTRO VIAL
2024,EQUINO,PEHUEN,-38.7897851819667423,-70.22583405820293478,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.79471003627646297,-70.18770724579343323,SINIESTRO VIAL
2025,VACUNO,PEHUEN,-38.68892547151264694,-70.31568302648102531,SINIESTRO VIAL
2024,EQUINO,PEHUEN,-38.55379589237284677,-70.34682298969347869,SINIESTRO VIAL
2024,EQUINO,PEHUEN, -38.57122381781579179,-70.33240564665015881,SINIESTRO VIAL
2024,EQUINO,PEHUEN,-38.57971491786869933,-70.32506229774699591,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.58995382813437658,-70.32444558962507131,SINIESTRO VIAL
2024,VACUNO,PEHUEN,-38.63985234811318747,-70.33726229341473868,SINIESTRO VIAL
2025,EQUINO,PEHUEN,-38.5067857374024527,-70.43524801199639285,SINIESTRO VIAL
2024,VACUNO,PEHUEN,-39.07897535100750019,-70.96399435626862839,SINIESTRO VIAL
2024,CIERVO,PEHUEN,-39.58625798345004654,-70.94113342132951061,SINIESTRO VIAL
2025,CHOIQUE,PEHUEN,-38.91857651518311201,-69.72355482844947971,DISPERSION DE ANIMALES
2025,EQUINO,PEHUEN,-38.90767818857771942,-69.78302359167540203,DISPERSION DE ANIMALES
2025,EQUINO,PEHUEN,-38.90130819897952819,-69.79636334932548891,DISPERSION DE ANIMALES
2025,CHOIQUE,PEHUEN,-38.89888506658490996,-69.81693049742659696,DISPERSION DE ANIMALES
2025,EQUINO,PEHUEN,-38.89426697266303989,-69.83949849706195323,DISPERSION DE ANIMALES
2025,EQUINO,PEHUEN,-38.89042175549295166,-69.87333342061491237,DISPERSION DE ANIMALES
2024,CAPRINO,PEHUEN,-38.89002441249296993,-69.88863443888396887,DISPERSION DE ANIMALES
2024,CHOIQUE,PEHUEN,-38.89263667011957892 ,-69.86684712511073769,DISPERSION DE ANIMALES
2025,EQUINO,PEHUEN,-38.79056193093136073,-69.98024446559739431,DISPERSION DE ANIMALES